XM_025153663.1	CDHR3
XM_025153672.1	CDHR3
NM_001199458.1	SYPL1
XR_001463310.2	LOC107051630
XM_015275716.2	NAMPT
NM_001030728.1	NAMPT
XR_003076775.1	LOC107051631
XR_001463311.2	LOC107051631
XM_015275786.2	CCDC71L
XM_015275714.2	PIK3CG
XM_015275715.2	PIK3CG
NM_001199538.1	PIK3CG
XM_015275788.2	PRKAR2B
XM_015275787.2	PRKAR2B
XM_015275713.2	HBP1
XM_015275712.2	HBP1
NM_001199454.2	HBP1
NM_001199445.3	COG5
XM_001231997.4	GPR22
XM_015275789.2	GPR22
XM_015275790.2	DUS4L
XM_001231914.5	DUS4L
XR_003076788.1	LOC112533028
NR_035330.1	MIR2126
NM_001097645.1	BCAP29
XM_425419.6	SLC26A4
XM_025153755.1	SLC26A4
XM_025153756.1	SLC26A4
XM_015275711.2	CBLL1
NM_001007848.1	CBLL1
XM_025147274.1	SLC26A3
NM_001199444.2	SLC26A3
XM_025147271.1	SLC26A3
XM_015275709.2	DLD
NM_001030727.1	DLD
XM_415943.6	LAMB1
XR_003076791.1	LOC112533030
XM_025146638.1	LAMB4
NM_001199313.1	LAMB4
NM_001199403.1	ERGIC2
XM_015275708.2	ERGIC2
XM_015275706.2	ERGIC2
XM_015275707.2	ERGIC2
XM_003640340.4	LRRK2
NM_001287193.1	LRRK2
XM_001232939.5	SLC2A13
XR_003076794.1	C12orf40
XR_003076809.1	C12orf40
XR_003076805.1	C12orf40
XR_003076806.1	C12orf40
XR_003076807.1	C12orf40
XR_003076803.1	C12orf40
XR_001463312.2	LOC107051632
NM_001199395.1	ABCD2
XR_001463314.2	LOC107051634
XR_001463315.2	LOC107051635
XM_004934760.3	KIF21A
XM_015275798.2	KIF21A
XM_015275797.2	KIF21A
XM_004934761.3	KIF21A
XM_415936.6	KIF21A
XM_004934759.3	KIF21A
XM_015275800.2	KIF21A
XM_015275757.2	SIIL
NM_001199460.1	CPNE8
XM_025147249.1	CPNE8
NM_001031394.1	ALG10
XM_423597.6	TPRKB
XR_139980.4	LOC100859509
NM_001031332.1	GTSE1
NM_001031351.1	TRMU
XM_423746.6	CELSR1
XM_004934773.3	HIST1H2B5L
XM_025153784.1	HIST1H2B5L
XM_015275805.2	GRAMD4
XM_015275810.2	LOC107051636
XM_015275753.2	CERK
NM_001031340.1	CERK
XM_015275756.2	TBC1D22A
XM_015275755.2	TBC1D22A
NM_001031490.1	TBC1D22A
XR_001463316.2	LOC107051637
XM_015275812.2	FAM19A5
XM_015275811.2	FAM19A5
XM_015275814.2	FAM19A5
XM_015275813.2	FAM19A5
XR_001463318.2	LOC107051638
XR_001463317.2	LOC107051638
XM_025153795.1	FAM19A5
XM_025153798.1	FAM19A5
XM_025153804.1	FAM19A5
XR_003076911.1	LOC112533144
XR_001463319.2	LOC107051639
XR_001461837.2	LOC107049439
XM_015302269.2	BRD1
XM_025147466.1	BRD1
XM_025147458.1	BRD1
XM_025147464.1	BRD1
NM_001199482.1	BRD1
XM_025147462.1	BRD1
XM_025147470.1	BRD1
XM_015272717.2	ZBED4
XM_015272867.2	ZBED4
XR_003073638.1	ZBED4
XM_015272777.2	ZBED4
XM_025147498.1	ZBED4
NM_001199541.2	ZBED4
XM_015272479.2	ALG12
XM_015272538.2	ALG12
XM_015272591.2	ALG12
XM_025147486.1	ALG12
NM_001039270.2	ALG12
NM_001199497.2	CRELD2
XR_003076914.1	LOC112533146
XR_003076913.1	LOC112533146
XR_003076912.1	LOC112533145
XR_003076915.1	LOC112533147
XR_003076916.1	LOC112533147
XR_001462525.1	LOC101748137
XM_003640342.4	PIM3
XR_003076920.1	LOC112533148
XR_003076922.1	LOC112533148
XR_003076921.1	LOC112533148
XR_001462449.2	LOC107050165
XR_003076923.1	LOC107050376
XR_001462573.2	LOC107050376
XR_003076925.1	LOC112533150
XR_003076924.1	LOC112533149
XR_210976.3	LOC101748415
XR_001462417.2	LOC107050120
XR_001462354.2	LOC101748454
XR_003076926.1	LOC101748454
XR_003076927.1	LOC112533151
XR_003076929.1	LOC112533152
XM_001232492.5	IL17REL
XM_015273696.2	IL17REL
XM_025153841.1	IL17REL
XM_015273739.2	IL17REL
XR_003076928.1	IL17REL
XM_025153872.1	MLC1
XM_015273600.2	MLC1
XM_415981.6	MLC1
XM_004937502.3	MLC1
XR_001462005.2	MOV10L1
XM_015273353.2	MOV10L1
XM_025153853.1	MOV10L1
XM_025153855.1	MOV10L1
XM_025153857.1	MOV10L1
XM_025153865.1	MOV10L1
XM_025153858.1	MOV10L1
XM_025153862.1	MOV10L1
XM_025153860.1	MOV10L1
XR_003076934.1	LOC107049700
XR_003076935.1	LOC112533153
XR_001462081.2	LOC107049700
XM_015273291.2	PANX2
XM_015273068.2	PANX2
XM_004937506.3	PANX2
XM_015273121.2	PANX2
XM_025153878.1	PANX2
XM_025143693.1	LOC429348
NM_001030732.1	TRABD
XM_015274537.2	TRABD
XM_015274569.2	TRABD
XR_003076943.1	LOC112533154
NM_001115017.3	SELENOO
XM_025144389.1	TUBGCP6
XM_025144457.1	HDAC10
XM_415985.6	LOC417741
XM_001233061.5	MAPK12
NM_001006227.1	MAPK11
XM_015275224.2	PLXNB2
XR_001463244.2	LOC107051595
NR_035187.3	MIR1693
XM_025147527.1	ZNF800
XM_025147524.1	ZNF800
XM_025147531.1	ZNF800
NM_001199499.1	ZNF800
XM_425426.6	GRM8
XM_004937516.3	GRM8
XM_025153904.1	GRM8
XM_015280911.2	POT1
XM_025147062.1	POT1
XM_025147065.1	POT1
XM_015280913.2	POT1
XM_015280903.2	POT1
NM_206992.1	POT1
NM_001081699.1	GPR37
XR_003076962.1	LOC112533160
XM_015282002.2	ARL8BL
NM_001256970.2	ARL8BL
XM_004937520.2	SPAM1
NM_001308252.1	HYAL6
XR_003076963.1	LOC107052593
NM_001199500.2	WASL
XM_025147539.1	WASL
NM_001199715.2	LMOD2
XM_004937524.2	ASB15
XM_415996.4	ASB15
NM_001097637.1	NDUFA5
XM_015282153.2	IQUB
XM_015282146.2	IQUB
XM_015282132.2	IQUB
XM_004937526.3	IQUB
XM_415998.6	IQUB
NM_001252611.1	ATP6AP1
XR_001465214.2	LOC107052612
XM_001233530.4	SLC13A1
XM_004937527.2	SLC13A1
XM_025153990.1	CADPS2
XM_025153987.1	CADPS2
XM_015282220.1	CADPS2
XM_025153970.1	CADPS2
XM_025153965.1	CADPS2
XM_015282202.1	CADPS2
XM_025153956.1	CADPS2
XM_015282234.1	CADPS2
XM_025153958.1	CADPS2
XM_025153949.1	CADPS2
XM_015282210.1	CADPS2
XM_025153978.1	CADPS2
XM_025153960.1	CADPS2
XM_025153950.1	CADPS2
XM_015282189.1	CADPS2
XM_015282164.1	CADPS2
XM_025153992.1	CADPS2
XM_003640347.4	FEZF1
XR_003077026.1	LOC112533174
XM_025154004.1	AASS
XM_015282251.2	AASS
XM_416001.6	AASS
XM_015280889.2	PTPRZ1
XM_015280868.2	PTPRZ1
XM_015280872.2	PTPRZ1
XM_015280879.2	PTPRZ1
XM_015280884.2	PTPRZ1
NM_001199312.1	PTPRZ1
NM_001097646.1	FAM3C
XM_015280965.2	FAM3C
XM_015280971.1	FAM3C
XM_001233677.5	WNT16
XM_025154020.1	CPED1
XM_416005.5	CPED1
XM_025154021.1	CPED1
XR_003077039.1	CPED1
XM_004937531.3	CPED1
NR_035136.1	MIR1645
XM_025147568.1	ING3
XM_025147569.1	ING3
XM_015280996.2	ING3
NM_001030733.2	ING3
XM_015280985.2	ING3
XM_015281018.2	TSPAN12
XM_015281012.2	TSPAN12
NM_001007849.1	TSPAN12
XM_015276625.2	KCND2
NM_204279.1	KCND2
XR_001465257.2	LOC100859665
XR_003077045.1	LOC112533180
NM_001287187.1	ANKRD26
XM_416008.6	ANKRD26
XM_015281029.2	ANKRD26
XM_004937533.3	ANKRD26
XM_015281043.2	ANKRD26
XM_015281040.2	ANKRD26
XM_015281048.2	ANKRD26
